"Vaccine","Geography Type","Geography","Survey Year/Influenza Season","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"Influenza","States","Oklahoma","2021","Race and Ethnicity","White, Non-Hispanic","45.2","38.5 to 52.0","232"
"Influenza","States","Oklahoma","2021","Race and Ethnicity","Black, Non-Hispanic","34.1","28.7 to 39.8","299"
"Influenza","States","Oklahoma","2021","Race and Ethnicity","Hispanic","53.4","48.2 to 58.5","378"
"Influenza","States","Oklahoma","2021","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","51.0","45.2 to 56.8","501"
"Tdap","States","Oklahoma","2021","Race and Ethnicity","White, Non-Hispanic","64.9","57.9 to 71.4","220"
"Tdap","States","Oklahoma","2021","Race and Ethnicity","Black, Non-Hispanic","59.6","53.5 to 65.5","274"
"Tdap","States","Oklahoma","2021","Race and Ethnicity","Hispanic","70.9","65.8 to 75.6","351"
"Tdap","States","Oklahoma","2021","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","70.3","64.4 to 75.8","469"
"Influenza","States","Oklahoma","2014","Age",">=18 Years","51.1","46.9 to 55.3","1798"
"Influenza","States","Oklahoma","2014","Age","18-24 Years","45.4","38.0 to 53.0","516"
"Influenza","States","Oklahoma","2014","Age","25-34 Years","54.9","49.4 to 60.3","1091"
"Influenza","States","Oklahoma","2014","Age",">=35 Years","47.6","33.3 to 62.2","191"
"Influenza","States","Oklahoma","2014","Race and Ethnicity","White, Non-Hispanic","51.6","46.3 to 56.9","1100"
"Influenza","States","Oklahoma","2014","Race and Ethnicity","Black, Non-Hispanic","39.7","25.6 to 55.2","168"
"Influenza","States","Oklahoma","2014","Race and Ethnicity","Hispanic","48.1","34.9 to 61.5","212"
"Influenza","States","Oklahoma","2014","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","56.5","46.5 to 66.1","317"
"Influenza","States","Oklahoma","2015","Race and Ethnicity","White, Non-Hispanic","54.8","49.7 to 59.8","1134"
"Influenza","States","Oklahoma","2015","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*","171"
"Influenza","States","Oklahoma","2015","Race and Ethnicity","Hispanic","53.3","42.0 to 64.4","236"
"Influenza","States","Oklahoma","2015","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","50.2","41.2 to 59.1","340"
"Influenza","States","Oklahoma","2013","Age","25-34 Years","56.5","51.1 to 61.8","1024"
"Influenza","States","Oklahoma","2013","Age",">=35 Years","59.5","46.6 to 71.5","228"
"Influenza","States","Oklahoma","2013","Race and Ethnicity","White, Non-Hispanic","54.1","49.0 to 59.2","1137"
"Influenza","States","Oklahoma","2013","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*","144"
"Influenza","States","Oklahoma","2013","Race and Ethnicity","Hispanic","40.4","29.1 to 52.5","235"
"Influenza","States","Oklahoma","2013","Age","18-24 Years","43.0","35.8 to 50.4","568"
"Influenza","States","Oklahoma","2013","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","59.3","48.6 to 69.4","302"
"Influenza","States","Oklahoma","2013","Age",">=18 Years","52.1","48.0 to 56.2","1820"
"Influenza","States","Oklahoma","2021","Age",">=18 Years","46.7","42.7 to 50.7","1411"
"Influenza","States","Oklahoma","2021","Age","18-24 Years","33.1","26.8 to 39.9","457"
"Influenza","States","Oklahoma","2021","Age","25-34 Years","49.5","44.0 to 55.0","750"
"Influenza","States","Oklahoma","2021","Age",">=35 Years","65.6","56.0 to 74.4","204"
"Tdap","States","Oklahoma","2021","Age",">=18 Years","66.5","62.4 to 70.4","1315"
"Tdap","States","Oklahoma","2021","Age","18-24 Years","62.3","54.4 to 69.8","426"
"Tdap","States","Oklahoma","2021","Age","25-34 Years","67.6","62.0 to 72.8","697"
"Tdap","States","Oklahoma","2021","Age",">=35 Years","71.3","61.0 to 80.2","192"
"Influenza","States","Oklahoma","2015","Age",">=18 Years","52.9","49.0 to 56.8","1883"
"Influenza","States","Oklahoma","2015","Age","18-24 Years","46.5","39.4 to 53.7","579"
"Influenza","States","Oklahoma","2015","Age","25-34 Years","53.3","48.0 to 58.5","1054"
"Influenza","States","Oklahoma","2015","Age",">=35 Years","69.1","57.6 to 79.1","250"
"Influenza","States","Oklahoma","2018","Age",">=18 Years","57.3","53.4 to 61.2","1344"
"Influenza","States","Oklahoma","2018","Age","18-24 Years","54.0","47.3 to 60.6","466"
"Influenza","States","Oklahoma","2018","Age","25-34 Years","58.8","53.5 to 64.0","729"
"Influenza","States","Oklahoma","2018","Age",">=35 Years","58.4","45.4 to 70.6","149"
"Influenza","States","Oklahoma","2018","Race and Ethnicity","White, Non-Hispanic","56.7","50.3 to 63.0","256"
